id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDPCPO25N000000001,장소,공원,10000228,소사대공원,,,50705,지역근린공원,4119410100103340003,경기도,부천시소사구,소사본동,,334-3,4119410100,4119453000,411943012096.0,소사로,107,126.7967643,37.4672613,다사378411,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000002,장소,공원,10123365,장미공원,,,50705,지역근린공원,4812313100100310000,경상남도,창원시성산구,가음동,,31,4812313100,4812355000,481232019002.0,창원대로,927,128.6917819,35.2065978,마라084907,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000003,장소,공원,10205950,수주공원,,,50705,지역근린공원,4119610500101900011,경기도,부천시오정구,고강동,,190-11,4119610500,4119655000,411963186001.0,고강로,71,126.8125984,37.5300248,다사392480,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000004,장소,공원,10208701,고향골공원,,,50705,지역근린공원,2824510200109820000,인천광역시,계양구,계산동,,982,2824510200,2824561100,,,,126.7194412,37.5405793,다사310493,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000005,장소,공원,10209251,활주로어린이공원,,,50705,지역근린공원,1150010800113410000,서울특별시,강서구,공항동,,1341,1150010800,1150062000,,,,126.8160016,37.5543569,다사395507,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000006,장소,공원,10209264,다솔공원,,,50705,지역근린공원,1150010800113610000,서울특별시,강서구,공항동,,1361,1150010800,1150062000,,,,126.8183687,37.5545648,다사397507,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000007,장소,공원,10209346,연풍레포츠공원,,,50705,지역근린공원,4376033025101990000,충청북도,괴산군,연풍면,원풍리,199,4376033025,4376033000,437603000165.0,새재로,1948,128.0269183,36.8145,라바469686,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000008,장소,공원,10209387,내촌어린이공원,,,50705,지역근린공원,1150011000105510026,서울특별시,강서구,개화동,,551-26,1150011000,1150064000,,,,126.8013936,37.577625,다사383533,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000009,장소,공원,10209821,유수지체육공원,,,50705,지역근린공원,2823710500104500001,인천광역시,부평구,삼산동,,450-1,2823710500,2823764800,282373154056.0,체육관로,163,126.7422775,37.5142193,다사330463,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000010,장소,공원,10209824,박물관공원,,,50705,지역근린공원,2823710500104510001,인천광역시,부평구,삼산동,,451-1,2823710500,2823764800,282373154006.0,굴포로,151,126.7378639,37.5122071,다사326461,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000011,장소,공원,10209826,시냇물공원,,,50705,지역근린공원,2823710500104430001,인천광역시,부평구,삼산동,,443-1,2823710500,2823764800,282373154057.0,충선로,262-1,126.7364086,37.5130463,다사325462,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000012,장소,공원,10209828,여울공원,,,50705,지역근린공원,2823710500104450007,인천광역시,부평구,삼산동,,445-7,2823710500,2823764800,,,,126.7383808,37.5136033,다사326463,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000013,장소,공원,10210865,마전고분군공원,,,50705,지역근린공원,5211114200115870000,전북특별자치도,전주시완산구,효자동3가,,1587,5211114200,5211173000,521113266086.0,황강서원로,73,127.1053186,35.8304117,다마643593,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000000014,장소,공원,10213381,일자산해맞이광장,,,50705,지역근린공원,1174010600201190000,서울특별시,강동구,둔촌동,,산119,1174010600,1174070000,,,,127.1520116,37.534421,다사692484,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
